Via;Numero Civico;Citt…;Provincia;Paese;Id(Field utile solo al fine dell'ordinamento) ;Quartiere;Longitudine(X);Latitudine(Y);StAddr;CAP;Anno Accertamento;Mese Accertamento;Giorno Accertamento;Numero Verbali;Descrizione Sanzione;Descrizione Paragrafo;Descrizione Capitolo;Descrizione Prontuario
Corso A. De Gasperi;63;Torino;TO;Italia;955;Crocetta;7.657388323;45.05383197;Corso Alcide De Gasperi 63;10129;2017;3;1;1;ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. Tassoni;0;Torino;TO;Italia;40;San Donato;7.655932817;45.08633457;Corso Alessandro Tassoni;10143;2017;1;7;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso A. Tassoni;0;Torino;TO;Italia;1198;San Donato;7.655932817;45.08633457;Corso Alessandro Tassoni;10143;2017;3;15;1;ART. 10 PUNTO 2 ABBANDONO DI ANIMALI REGOLAMENTO TUTELA E BENESSERE ANIMALI;ABBANDONO DI ANIMALI;DISPOSIZIONI GENERALI;REGOLAMENTO TUTELA E BENESSERE ANIMALI
Corso A. Tassoni;0;Torino;TO;Italia;4397;San Donato;7.655932817;45.08633457;Corso Alessandro Tassoni;10143;2017;11;3;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso A. Tassoni;72;Torino;TO;Italia;2025;San Donato;7.656093334;45.08477214;Corso Alessandro Tassoni 72;10144;2017;5;15;1;ARTT. 34?68 INTERVENTI URGENTI REGOLAMENTO EDILIZIO;INTERVENTI URGENTI;ESECUZIONE DELLE OPERE;REGOLAMENTO EDILIZIO
Corso A. Tassoni;76;Torino;TO;Italia;3881;San Donato;7.656162867;45.08501514;Corso Alessandro Tassoni 76;10144;2017;10;5;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso A. Tassoni;78;Torino;TO;Italia;3376;San Donato;7.656185702;45.08508684;Corso Alessandro Tassoni 78;10144;2017;9;1;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso A. Tassoni;86;Torino;TO;Italia;2378;San Donato;7.65642415;45.08617793;Corso Alessandro Tassoni 86;10144;2017;6;8;1;ARTT. 11 C. 4?47 OPERAZIONE DI RACCOLTA REGOLAMENTO GESTIONE RIFIUTI URBANI;OPERAZIONE DI RACCOLTA;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;2010;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;5;13;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;3231;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;8;14;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;3413;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;9;5;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;3945;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;10;9;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;4010;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;10;12;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;4243;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;10;24;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Achille Mario Dogliotti;0;Torino;TO;Italia;4343;Nizza Millefonti;7.676482747;45.03523786;Corso Achille Mario Dogliotti;10126;2017;10;31;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Adriatico;20;Torino;TO;Italia;2264;Santa Rita;7.652013941;45.05244419;Corso Adriatico 20;10129;2017;6;1;1;ART. 21 PUNTO 1 ACCESSO GIARDINI, PARCHI ED AREE PUBBL. REGOLAMENTO TUTELA E BENESSERE ANIMALI;ACCESSO GIARDINI, PARCHI ED AREE PUBBL.;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI
Corso Adriatico;22;Torino;TO;Italia;2332;Santa Rita;7.651761941;45.05249025;Corso Adriatico 22;10129;2017;6;4;1;ART. 33 DECORO E MANUTENZIONE DELLE COSTRUZIONI REGOLAMENTO EDILIZIO;DECORO E MANUTENZIONE DELLE COSTRUZIONI;PRESCRIZIONI COSTRUTTIVE E FUNZIONALI;REGOLAMENTO EDILIZIO
Corso Alberto Picco;50;Torino;TO;Italia;3377;Borgo Po;7.709535236;45.06109787;Corso Alberto Picco 50;10131;2017;9;1;1;ART. 46 C. 3 ABITAZIONI PRIVATE REGOLAMENTO POLIZIA URBANA;ABITAZIONI PRIVATE;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA
Corso Appio Claudio;116;Torino;TO;Italia;2111;Parella;7.64073449;45.08462243;Corso Appio Claudio 116;10146;2017;5;19;1;ARTT. 5 C. 1?10 C. 1 RUMORE ESTERNO REGOLAMENTO INQUINAMENTO ACUSTICO;RUMORE ESTERNO;ATTIVITA' RUMOROSE PERMANENTI;REGOLAMENTO INQUINAMENTO ACUSTICO
Corso Appio Claudio;116;Torino;TO;Italia;2974;Parella;7.64073449;45.08462243;Corso Appio Claudio 116;10146;2017;7;22;1;ART. 44 C. 3 SPETTACOLI E TRATTENIMENTI REGOLAMENTO POLIZIA URBANA;SPETTACOLI E TRATTENIMENTI;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA
Corso Belgio;43;Torino;TO;Italia;944;Vanchiglia;7.708185514;45.07211129;Corso Belgio 43;10153;2017;3;1;1;ARTT. 17 C. 5?21 C. 2 ORARIO DI APERTURA ATTIVITA' PRODUTTIVE ? L.R. 38/2006;ORARIO DI APERTURA;ESERCIZI DI SOMMINISTRAZIONE;ATTIVITA' PRODUTTIVE ? L.R. 38/2006
Corso Belgio;114;Torino;TO;Italia;962;Vanchiglia;7.719853741;45.07404676;Corso Belgio 114;10153;2017;3;2;1;ART. 193 IN REL ART. 258 C. 4 TRASPORTO RIFIUTI NON PERICOLOSI TUTELA AMBIENTE ? D.L.VO 152/06;TRASPORTO RIFIUTI NON PERICOLOSI;OBBLIGO DI TENUTA DEI FORMULARI;TUTELA AMBIENTE ? D.L.VO 152/06
Corso Belgio;143;Torino;TO;Italia;5189;Vanchiglia;7.722512455;45.07455232;Corso Belgio 143;10153;2017;12;28;1;ART. 11 C. 1 IN REL ART. 5 C. 1 LEGGE REGIONALE 9/2016 VIDEOGIOCHI;LEGGE REGIONALE 9/2016;COLLOCAZIONE APPARECCHI PER GIOCO LECITO;VIDEOGIOCHI
Corso Belgio;143;Torino;TO;Italia;5190;Vanchiglia;7.722512455;45.07455232;Corso Belgio 143;10153;2017;12;28;1;ART. 252 C. 2 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE
Corso Belgio;143;Torino;TO;Italia;5191;Vanchiglia;7.722512455;45.07455232;Corso Belgio 143;10153;2017;12;28;1;ART. 28 STABILIMENTI E LOCALI DI PRODUZIONE IGIENE/TUTELA ALIMENTI?D.P.R. 327/80;STABILIMENTI E LOCALI DI PRODUZIONE;REQUISITI OBBLIGATORI;IGIENE/TUTELA ALIMENTI?D.P.R. 327/80
Corso Belgio;143;Torino;TO;Italia;5192;Vanchiglia;7.722512455;45.07455232;Corso Belgio 143;10153;2017;12;28;2;ART. 5 C. 3 ATTIVITA' DI CONTROLLO E SANZIONI ATTIVITA' PROD. ? D.P.G.R. 2/R 03/03/08;ATTIVITA' DI CONTROLLO E SANZIONI;AUTORIZZAZIONE SANITARIA;ATTIVITA' PROD. ? D.P.G.R. 2/R 03/03/08
Corso Benedetto Brin;0;Torino;TO;Italia;2876;Borgo Vittoria;7.672814801;45.09316723;Corso Benedetto Brin;10149;2017;7;14;1;ART. 13 C. 2 IN REL ART. 5 C. 1 OMESSA CONSEGNA VEICOLO A CENTRI ABILIT. TUTELA AMBIENTE?D.L.VO 209/03;OMESSA CONSEGNA VEICOLO A CENTRI ABILIT.;VEICOLI A MOTORE E RIMORCHI;TUTELA AMBIENTE?D.L.VO 209/03
Corso Benedetto Brin;29;Torino;TO;Italia;1229;Borgo Vittoria;7.671613595;45.09345474;Corso Benedetto Brin 29;10149;2017;3;17;1;ART. 252 C. 2 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE
Corso Benedetto Brin;29;Torino;TO;Italia;1320;Borgo Vittoria;7.671613595;45.09345474;Corso Benedetto Brin 29;10149;2017;3;23;1;ARTT. 5 C. 3?21 C. 2 ? L.R. 38/06 CORSO DI FORMAZIONE ATTIVITA' PRODUTTIVE ? L.R. 38/2006;CORSO DI FORMAZIONE;ESERCIZI DI SOMMINISTRAZIONE;ATTIVITA' PRODUTTIVE ? L.R. 38/2006
Corso Benedetto Croce;3;Torino;TO;Italia;1779;Lingotto;7.646355646;45.02266038;Corso Benedetto Croce 3;10135;2017;4;27;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso Benedetto Croce;25;Torino;TO;Italia;4600;Lingotto;7.64586868;45.01996375;Corso Benedetto Croce 25;10135;2017;11;16;1;ARTT. 28 C. 15/16?29/2 PROBLEMI VIABILITA' E DI PARCHEGGIO ATTIVITA' PRODUTTIVE?D.L.vo 114/98;PROBLEMI VIABILITA' E DI PARCHEGGIO;COMMERCIO SU AREE PUBBLICHE;ATTIVITA' PRODUTTIVE?D.L.vo 114/98
Corso Bernardino Telesio;3;Torino;TO;Italia;4311;Parella;7.624115833;45.07531481;Corso Bernardino Telesio 3;10146;2017;10;26;1;ARTT. 5 LETT. B?6 C. 2 LEGGE 283/62 IGIENE/TUTELA ALIMENTI?L. 283/62;LEGGE 283/62;PRODUZIONE E VENDITA SOSTANZE ALIMENTARI;IGIENE/TUTELA ALIMENTI?L. 283/62
Corso Bernardino Telesio;64;Torino;TO;Italia;3339;Parella;7.62747795;45.07969799;Corso Bernardino Telesio 64;10146;2017;8;29;1;ART. 21 SANZIONI ATTIVITA' PRODUTTIVE ? L.R. 38/2006;SANZIONI;ESERCIZI DI SOMMINISTRAZIONE;ATTIVITA' PRODUTTIVE ? L.R. 38/2006
Corso Bernardino Telesio;72;Torino;TO;Italia;4297;Parella;7.627905366;45.08039999;Corso Bernardino Telesio 72;10146;2017;10;26;1;ART. 241 LOCALI ? ATTREZZATURE REGOLAMENTO D'IGIENE;LOCALI ? ATTREZZATURE;AUTORIZZAZIONI A.S.L.;REGOLAMENTO D'IGIENE
Corso Bernardino Telesio;72;Torino;TO;Italia;5076;Parella;7.627905366;45.08039999;Corso Bernardino Telesio 72;10146;2017;12;19;1;ART. 241 LOCALI ? ATTREZZATURE REGOLAMENTO D'IGIENE;LOCALI ? ATTREZZATURE;AUTORIZZAZIONI A.S.L.;REGOLAMENTO D'IGIENE
Corso Bernardino Telesio;93;Torino;TO;Italia;2934;Parella;7.628379099;45.08201218;Corso Bernardino Telesio 93;10146;2017;7;19;1;ARTT. 2?5 IDONEITA' PROFESSIONALE ATT. PROD.?LEX 84/06 MOD. D.L.59/10;IDONEITA' PROFESSIONALE;TINTOLAVANDERIA;ATT. PROD.?LEX 84/06 MOD. D.L.59/10
Corso Bernardino Telesio;95;Torino;TO;Italia;3740;Parella;7.628649455;45.08241592;Corso Bernardino Telesio 95;10146;2017;9;27;1;ARTT. 6 C. 2 C. 6?28 C. 4 IN REL ART. 24 C. 2D.L.vo 507/1993 SUBINGRESSO NELL' AUTORIZZAZIONE REGOLAMENTO C.I.M.P. 2010;SUBINGRESSO NELL' AUTORIZZAZIONE;DISPOSIZIONI GENERALI;REGOLAMENTO C.I.M.P. 2010
Corso Bernardino Telesio;98;Torino;TO;Italia;2877;Parella;7.629165869;45.08246132;Corso Bernardino Telesio 98;10146;2017;7;14;1;ART. 15 C. 1 REGOLAMENTO N? 264 REGOLAMENTO SERVIZIO MORTUARIO E CIMITERI;REGOLAMENTO N? 264;DISCIPLINA TRASPORTO FUNEBRE;REGOLAMENTO SERVIZIO MORTUARIO E CIMITERI
Corso Bolzano;0;Torino;TO;Italia;3188;Centro;7.664004137;45.06827273;Corso Bolzano;10121;2017;8;9;1;ART. 21 C. 4 CARATTERISTICHE VEICOLI REGOLAMENTO TAXI;CARATTERISTICHE VEICOLI;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI
Corso Bolzano;27;Torino;TO;Italia;3431;Centro;7.665932018;45.07103252;Corso Bolzano 27;10121;2017;9;6;1;ARTT. 28 C. 3 ? 29 C. 1 D.L.vo 31/3/98 N. 114;AUTORIZZAZIONI;COMMERCIO SU AREE PUBBLICHE;ATTIVITA' PRODUTTIVE?D.L.vo 114/98
Corso Bramante;0;Torino;TO;Italia;1211;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;3;16;3;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;1354;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;3;25;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3136;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;8;3;3;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3194;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;8;10;3;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3237;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;8;16;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3244;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;8;17;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3531;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;9;13;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3899;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;6;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;3963;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;10;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;4011;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;12;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;4070;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;14;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;4071;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;14;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;4244;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;24;1;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;0;Torino;TO;Italia;4269;Crocetta;7.665365988;45.04499203;Corso Bramante;10134;2017;10;25;2;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE
Corso Bramante;25;Torino;TO;Italia;2202;Crocetta;7.664912859;45.04534088;Corso Bramante 25;10134;2017;5;26;1;ART. 252 C. 2 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE
Corso Bramante;25;Torino;TO;Italia;4899;Crocetta;7.664912859;45.04534088;Corso Bramante 25;10134;2017;12;5;1;ARTT. 9 C. 1?47 CONFERIMENTI REGOLAMENTO GESTIONE RIFIUTI URBANI;CONFERIMENTI;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI
Corso Bramante;27;Torino;TO;Italia;2465;Crocetta;7.665084964;45.04519242;Corso Bramante 27;10134;2017;6;15;1;ARTT. 13 C. 5?47 NORME RACCOLTE DIFFERENZIATE REGOLAMENTO GESTIONE RIFIUTI URBANI;NORME RACCOLTE DIFFERENZIATE;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI
Corso Bramante;29;Torino;TO;Italia;3195;Crocetta;7.665373938;45.04502239;Corso Bramante 29;10134;2017;8;10;1;ARTT. 29 C. 1?47 ABBANDONO DI RIFIUTI REGOLAMENTO GESTIONE RIFIUTI URBANI;ABBANDONO DI RIFIUTI;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI
Corso Bramante;47;Torino;TO;Italia;3378;San Salvario;7.669317227;45.043364;Corso Bramante 47;10126;2017;9;1;1;ART. 24 PUNTO 3 OBBLIGO DI RACCOLTA DEIEZIONI SOLIDE REGOLAMENTO TUTELA E BENESSERE ANIMALI;OBBLIGO DI RACCOLTA DEIEZIONI SOLIDE;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI
Corso Bramante;47;Torino;TO;Italia;3379;San Salvario;7.669317227;45.043364;Corso Bramante 47;10126;2017;9;1;1;ART. 28 PUNTO 2 DOCUMENTI DA PORTARE AL SEGUITO REGOLAMENTO TUTELA E BENESSERE ANIMALI;DOCUMENTI DA PORTARE AL SEGUITO;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI
Corso Bramante;61;Torino;TO;Italia;3455;San Salvario;7.671217773;45.04298648;Corso Bramante 61;10126;2017;9;7;1;ART. 8 BIS C. 1 VENDITA E DETENZIONE BEVANDE REGOLAMENTO POLIZIA URBANA;VENDITA E DETENZIONE BEVANDE;DISP. PART. PER ATTIVITA' COMMERCIALI;REGOLAMENTO POLIZIA URBANA
